Entity,Code,Year,Girls,Boys
Afghanistan,AFG,2017,3.77,5.27
Afghanistan,AFG,2018,3.8071938,5.463747
Afghanistan,AFG,2020,3.8744879,5.527435
Albania,ALB,2010,7.7627153,7.0276556
Albania,ALB,2017,9.18,8.66
Albania,ALB,2018,9.399869,8.345028
Albania,ALB,2020,9.432854,8.526799
Algeria,DZA,2010,7.3724513,6.9997063
Algeria,DZA,2017,7.26,6.45
Algeria,DZA,2018,7.427572,6.6964593
Algeria,DZA,2020,7.5113606,6.7111835
Angola,AGO,2017,3.68,4.54
Angola,AGO,2018,3.6255884,4.8334565
Angola,AGO,2020,3.6255884,4.8334565
Antigua and Barbuda,ATG,2018,8.327854,7.8709273
Antigua and Barbuda,ATG,2020,8.881823,8.033772
Argentina,ARG,2010,8.563321,7.908725
Argentina,ARG,2017,8.97,8.77
Argentina,ARG,2018,8.796667,8.681369
Argentina,ARG,2020,8.49405,8.332441
Armenia,ARM,2017,8.07,7.66
Armenia,ARM,2018,8.328183,7.8404016
Armenia,ARM,2020,8.250537,7.767738
Australia,AUS,2010,11.184755,10.926279
Australia,AUS,2017,11.65,11.45
Australia,AUS,2018,11.515823,11.303867
Australia,AUS,2020,11.324356,11.124339
Austria,AUT,2010,10.902529,10.786446
Austria,AUT,2017,11.56,11.72
Austria,AUT,2018,11.290924,11.2629595
Austria,AUT,2020,10.981025,10.83462
Azerbaijan,AZE,2010,6.880856,6.8708744
Azerbaijan,AZE,2018,9.543851,9.223233
Azerbaijan,AZE,2020,8.331982,8.233573
Bahrain,BHR,2010,8.913201,7.9549346
Bahrain,BHR,2017,10.09,9.13
Bahrain,BHR,2018,9.9844885,9.074978
Bahrain,BHR,2020,9.820468,8.790573
Bangladesh,BGD,2017,6.7,6.25
Bangladesh,BGD,2018,6.22563,5.7743125
Bangladesh,BGD,2020,6.2320895,5.755271
Belarus,BLR,2020,10.802251,10.767961
Belgium,BEL,2010,11.202986,11.118853
Belgium,BEL,2017,11.13,11.15
